Athlete,Country,Gold,Silver,Bronze,Total,year
Michael Phelps,United States,23,3,2,28,1896 - 2016
Larisa Latynina,Soviet Union,9,5,4,18,1896 - 2016
Larisa Latynina,Ukraine,9,5,4,18,1896 - 2016
Nikolay Andrianov,Soviet Union,7,5,3,15,1896 - 2016
Nikolay Andrianov,Russian Federation,7,5,3,15,1896 - 2016
Takashi Ono,Japan,5,4,4,13,1896 - 2016
Boris Shakhlin,Ukraine,7,4,2,13,1896 - 2016
Edoardo Mangiarotti,Italy,6,5,2,13,1896 - 2016
Boris Shakhlin,Soviet Union,7,4,2,13,1896 - 2016
Isabell Werth,Germany,7,5,0,12,1896 - 2016
Aleksey Nemov,Russian Federation,4,2,6,12,1896 - 2016
Leonidas,Rhodes,12,0,0,12,1896 - 2016
Dara Torres,United States,4,4,4,12,1896 - 2016
Natalie Coughlin,United States,3,4,5,12,1896 - 2016
Birgit Fischer-Schmidt,Germany,8,4,0,12,1896 - 2016
Ryan Lochte,United States,6,3,3,12,1896 - 2016
Birgit Fischer-Schmidt,East Germany,8,4,0,12,1896 - 2016
Sawao Kato,Japan,8,3,1,12,1896 - 2016
Jenny Thompson,United States,8,3,1,12,1896 - 2016
Paavo Nurmi,Finland,9,3,0,12,1896 - 2016
Herodoros,Megara,11,0,0,11,1896 - 2016
Mark Spitz,United States,9,1,1,11,1896 - 2016
Emma McKeon,Australia,3,4,4,11,1896 - 2016
Věra Čáslavská,Czech Republic,7,4,0,11,1896 - 2016
Matt Biondi,United States,8,2,1,11,1896 - 2016
Věra Čáslavská,Czechoslovakia,7,4,0,11,1896 - 2016
Viktor Chukarin,Ukraine,7,3,1,11,1896 - 2016
Carl Osburn,United States,5,4,2,11,1896 - 2016
Viktor Chukarin,Soviet Union,7,3,1,11,1896 - 2016
Vitali Shcherba,Unified Team,6,0,4,10,1896 - 2016
Akinori Nakayama,Japan,6,2,2,10,1896 - 2016
Hubert Van Innis,Belgium,6,4,0,10,1896 - 2016
Aleksandr Dityatin,Russian Federation,3,6,1,10,1896 - 2016
Ágnes Keleti,Hungary,5,3,2,10,1896 - 2016
Polina Astakhova,Ukraine,5,2,3,10,1896 - 2016
"Gary Hall, Jr.",United States,5,3,2,10,1896 - 2016
Vitali Shcherba,Belarus,6,0,4,10,1896 - 2016
Aladár Gerevich,Hungary,7,1,2,10,1896 - 2016
Carl Lewis,United States,9,1,0,10,1896 - 2016
Polina Astakhova,Soviet Union,5,2,3,10,1896 - 2016
Aleksandr Dityatin,Soviet Union,3,6,1,10,1896 - 2016
Ray Ewry,United States,10,0,0,10,1896 - 2016
Lyudmila Turishcheva,Russian Federation,4,3,2,9,1896 - 2016
Aleksandr Popov,Unified Team,4,5,0,9,1896 - 2016
Heikki Savolainen,Finland,2,1,6,9,1896 - 2016
Mitsuo Tsukahara,Japan,5,1,3,9,1896 - 2016
Aleksandr Popov,Russian Federation,4,5,0,9,1896 - 2016
Martin Sheridan,United States,5,3,1,9,1896 - 2016
Lyudmila Turishcheva,Soviet Union,4,3,2,9,1896 - 2016
Eizo Kenmotsu,Japan,3,3,3,9,1896 - 2016
Alf Swahn,Sweden,3,3,3,9,1896 - 2016
Ian Thorpe,Australia,5,3,1,9,1896 - 2016
Mikhail Voronin,Russian Federation,2,6,1,9,1896 - 2016
Nadia Comăneci,Romania,5,3,1,9,1896 - 2016
Chad le Clos,South Africa,2,6,1,9,1896 - 2016
Mikhail Voronin,Soviet Union,2,6,1,9,1896 - 2016
Allyson Felix,United States,6,3,0,9,1896 - 2016
Valentina Vezzali,Italy,6,1,2,9,1896 - 2016
Anky van Grunsven,Netherlands,3,5,1,9,1896 - 2016
Zoltán Halmay,Hungary,3,5,1,9,1896 - 2016
Giulio Gaudini,Italy,3,4,2,9,1896 - 2016
Leisel Jones,Australia,3,5,1,9,1896 - 2016
Allison Schmitt,United States,4,2,3,9,1896 - 2016
Dawn Fraser,Australia,4,4,0,8,1896 - 2016
Petria Thomas,Australia,3,4,1,8,1896 - 2016
Dmitry Sautin,Unified Team,2,2,4,8,1896 - 2016
Henry Taylor,Great Britain,4,1,3,8,1896 - 2016
Giovanna Trillini,Italy,4,1,3,8,1896 - 2016
Sofya Muratova,Soviet Union,2,2,4,8,1896 - 2016
Otto Olsen,Norway,4,3,1,8,1896 - 2016
Philippe Cattiau,France,3,4,1,8,1896 - 2016
Vilhelm Carlberg,Sweden,3,4,1,8,1896 - 2016
Jason Lezak,United States,4,2,2,8,1896 - 2016
Roger Ducret,France,3,4,1,8,1896 - 2016
Kornelia Ender,East Germany,4,4,0,8,1896 - 2016
Roland Matthes,East Germany,4,2,2,8,1896 - 2016
Georges Miez,Switzerland,4,3,1,8,1896 - 2016
Katalin Kovács,Hungary,3,5,0,8,1896 - 2016
Inge de Bruijn,Netherlands,4,2,2,8,1896 - 2016
Veronica Campbell-Brown,Jamaica,3,3,2,8,1896 - 2016
Charlie Daniels,United States,5,1,2,8,1896 - 2016
Susie O'Neill,Australia,2,4,2,8,1896 - 2016
Margit Korondi,Hungary,2,2,4,8,1896 - 2016
Dmitry Sautin,Russian Federation,2,2,4,8,1896 - 2016
Shirley Babashoff,United States,2,6,0,8,1896 - 2016
Reiner Klimke,Germany,6,0,2,8,1896 - 2016
Ville Ritola,Finland,5,3,0,8,1896 - 2016
Elisabeta Oleniuc-Lipă,Romania,5,2,1,8,1896 - 2016
Eugen Mack,Switzerland,2,4,2,8,1896 - 2016
Bradley Wiggins,Great Britain,5,1,2,8,1896 - 2016
Nathan Adrian,United States,5,1,2,8,1896 - 2016
Sofya Muratova,Russian Federation,2,2,4,8,1896 - 2016
